"Run","Organism","brain_region","individual","cluster"
"SRR8750453","Homo sapiens","23 Thalamus","hc","cluster4"
"SRR8750454","Homo sapiens","23 Thalamus","hd","cluster4"
"SRR8750455","Homo sapiens","29 Substantia Nigra","ha","cluster5"
"SRR8750456","Homo sapiens","29 Substantia Nigra","hb","cluster5"
"SRR8750457","Homo sapiens","29 Substantia Nigra","hc","cluster5"
"SRR8750458","Homo sapiens","29 Substantia Nigra","hd","cluster5"
"SRR8750459","Homo sapiens","21 Hippocampus","ha","cluster3"
"SRR8750460","Homo sapiens","21 Hippocampus","hb","cluster3"
"SRR8750461","Homo sapiens","21 Hippocampus","hc","cluster3"
"SRR8750462","Homo sapiens","21 Hippocampus","hd","cluster3"
"SRR8750463","Homo sapiens","2 2ary Auditory (BA22)","ha","cluster1"
"SRR8750464","Homo sapiens","2 2ary Auditory (BA22)","hb","cluster1"
"SRR8750465","Homo sapiens","2 2ary Auditory (BA22)","hc","cluster1"
"SRR8750466","Homo sapiens","2 2ary Auditory (BA22)","hd","cluster1"
"SRR8750467","Homo sapiens","25 Corpus Callosum Posterior","ha","cluster5"
"SRR8750468","Homo sapiens","25 Corpus Callosum Posterior","hb","cluster5"
"SRR8750469","Homo sapiens","25 Corpus Callosum Posterior","hc","cluster5"
"SRR8750470","Homo sapiens","25 Corpus Callosum Posterior","hd","cluster5"
"SRR8750471","Homo sapiens","1 Supramarginal (BA40)","ha","cluster1"
"SRR8750472","Homo sapiens","1 Supramarginal (BA40)","hb","cluster1"
"SRR8750473","Homo sapiens","1 Supramarginal (BA40)","hc","cluster1"
"SRR8750474","Homo sapiens","1 Supramarginal (BA40)","hd","cluster1"
"SRR8750475","Homo sapiens","3 Precuneus (BA7)","ha","cluster1"
"SRR8750476","Homo sapiens","3 Precuneus (BA7)","hb","cluster1"
"SRR8750477","Homo sapiens","3 Precuneus (BA7)","hc","cluster1"
"SRR8750478","Homo sapiens","3 Precuneus (BA7)","hd","cluster1"
"SRR8750479","Homo sapiens","9 1ary Visual (BA17)","ha","cluster1"
"SRR8750480","Homo sapiens","9 1ary Visual (BA17)","hb","cluster1"
"SRR8750481","Homo sapiens","9 1ary Visual (BA17)","hc","cluster1"
"SRR8750482","Homo sapiens","9 1ary Visual (BA17)","hd","cluster1"
"SRR8750483","Homo sapiens","10 2ary Visual (BA18/19)","ha","cluster1"
"SRR8750484","Homo sapiens","10 2ary Visual (BA18/19)","hb","cluster1"
"SRR8750485","Homo sapiens","10 2ary Visual (BA18/19)","hc","cluster1"
"SRR8750486","Homo sapiens","10 2ary Visual (BA18/19)","hd","cluster1"
"SRR8750487","Homo sapiens","28 Cerebellar White Matter","ha","cluster5"
"SRR8750488","Homo sapiens","28 Cerebellar White Matter","hb","cluster5"
"SRR8750489","Homo sapiens","28 Cerebellar White Matter","hc","cluster5"
"SRR8750490","Homo sapiens","28 Cerebellar White Matter","hd","cluster5"
"SRR8750491","Homo sapiens","30 Cerebellar Grey Matter","ha","cluster6"
"SRR8750492","Homo sapiens","30 Cerebellar Grey Matter","hb","cluster6"
"SRR8750493","Homo sapiens","30 Cerebellar Grey Matter","hc","cluster6"
"SRR8750494","Homo sapiens","30 Cerebellar Grey Matter","hd","cluster6"
"SRR8750495","Homo sapiens","13 Prefrontal (BA10)","ha","cluster2"
"SRR8750496","Homo sapiens","13 Prefrontal (BA10)","hb","cluster2"
"SRR8750497","Homo sapiens","13 Prefrontal (BA10)","hc","cluster2"
"SRR8750498","Homo sapiens","13 Prefrontal (BA10)","hd","cluster2"
"SRR8750733","Homo sapiens","16 Dorsolateral Prefrontal (BA9)","ha","cluster2"
"SRR8750734","Homo sapiens","16 Dorsolateral Prefrontal (BA9)","hb","cluster2"
"SRR8750735","Homo sapiens","16 Dorsolateral Prefrontal (BA9)","hc","cluster2"
"SRR8750736","Homo sapiens","16 Dorsolateral Prefrontal (BA9)","hd","cluster2"
"SRR8750737","Homo sapiens","17 Orbitofrontal (BA11)","ha","cluster2"
"SRR8750738","Homo sapiens","17 Orbitofrontal (BA11)","hb","cluster2"
"SRR8750739","Homo sapiens","17 Orbitofrontal (BA11)","hc","cluster2"
"SRR8750740","Homo sapiens","17 Orbitofrontal (BA11)","hd","cluster2"
"SRR8750741","Homo sapiens","18 Ventrolateral Prefrontal (BA44)","ha","cluster2"
"SRR8750742","Homo sapiens","18 Ventrolateral Prefrontal (BA44)","hb","cluster2"
"SRR8750743","Homo sapiens","18 Ventrolateral Prefrontal (BA44)","hc","cluster2"
"SRR8750744","Homo sapiens","18 Ventrolateral Prefrontal (BA44)","hd","cluster2"
"SRR8750745","Homo sapiens","12 Cingulate Anterior (BA32)","ha","cluster2"
"SRR8750746","Homo sapiens","12 Cingulate Anterior (BA32)","hb","cluster2"
"SRR8750747","Homo sapiens","12 Cingulate Anterior (BA32)","hc","cluster2"
"SRR8750748","Homo sapiens","12 Cingulate Anterior (BA32)","hd","cluster2"
"SRR8750749","Homo sapiens","32 Caudate","ha","cluster7"
"SRR8750750","Homo sapiens","32 Caudate","hb","cluster7"
"SRR8750751","Homo sapiens","32 Caudate","hc","cluster7"
"SRR8750752","Homo sapiens","32 Caudate","hd","cluster7"
"SRR8750753","Homo sapiens","33 Nucleus Accumbens","ha","cluster7"
"SRR8750754","Homo sapiens","33 Nucleus Accumbens","hb","cluster7"
"SRR8750755","Homo sapiens","33 Nucleus Accumbens","hc","cluster7"
"SRR8750756","Homo sapiens","33 Nucleus Accumbens","hd","cluster7"
"SRR8750757","Homo sapiens","24 Corpus Callosum Anterior","ha","cluster5"
"SRR8750758","Homo sapiens","24 Corpus Callosum Anterior","hb","cluster5"
"SRR8750759","Homo sapiens","24 Corpus Callosum Anterior","hc","cluster5"
"SRR8750760","Homo sapiens","24 Corpus Callosum Anterior","hd","cluster5"
"SRR8750761","Homo sapiens","5 Premotor (BA6)","ha","cluster1"
"SRR8750762","Homo sapiens","5 Premotor (BA6)","hb","cluster1"
"SRR8750763","Homo sapiens","5 Premotor (BA6)","hc","cluster1"
"SRR8750764","Homo sapiens","5 Premotor (BA6)","hd","cluster1"
"SRR8750765","Homo sapiens","11 Cingulate Anterior (BA24)","ha","cluster2"
"SRR8750766","Homo sapiens","11 Cingulate Anterior (BA24)","hb","cluster2"
"SRR8750767","Homo sapiens","11 Cingulate Anterior (BA24)","hc","cluster2"
"SRR8750768","Homo sapiens","11 Cingulate Anterior (BA24)","hd","cluster2"
"SRR8750769","Homo sapiens","31 Putamen","ha","cluster7"
"SRR8750770","Homo sapiens","31 Putamen","hb","cluster7"
"SRR8750771","Homo sapiens","31 Putamen","hc","cluster7"
"SRR8750772","Homo sapiens","31 Putamen","hd","cluster7"
"SRR8750773","Homo sapiens","26 Internal Capsule","ha","cluster5"
"SRR8750774","Homo sapiens","26 Internal Capsule","hb","cluster5"
"SRR8750775","Homo sapiens","26 Internal Capsule","hc","cluster5"
"SRR8750776","Homo sapiens","26 Internal Capsule","hd","cluster5"
"SRR8750777","Homo sapiens","8 1ary Motor (BA4)","ha","cluster1"
"SRR8750778","Homo sapiens","8 1ary Motor (BA4)","hb","cluster1"
"SRR8750779","Homo sapiens","8 1ary Motor (BA4)","hc","cluster1"
"SRR8750780","Homo sapiens","8 1ary Motor (BA4)","hd","cluster1"
"SRR8750781","Homo sapiens","6 1ary Somatosensory (BA3/1/2)","ha","cluster1"
"SRR8750782","Homo sapiens","6 1ary Somatosensory (BA3/1/2)","hb","cluster1"
"SRR8750783","Homo sapiens","6 1ary Somatosensory (BA3/1/2)","hc","cluster1"
"SRR8750784","Homo sapiens","6 1ary Somatosensory (BA3/1/2)","hd","cluster1"
"SRR8750785","Homo sapiens","27 Globus Pallidus","ha","cluster5"
"SRR8750786","Homo sapiens","27 Globus Pallidus","hb","cluster5"
"SRR8750787","Homo sapiens","27 Globus Pallidus","hc","cluster5"
"SRR8750788","Homo sapiens","27 Globus Pallidus","hd","cluster5"
"SRR8750789","Homo sapiens","22 Hypothalamus","ha","cluster4"
"SRR8750790","Homo sapiens","22 Hypothalamus","hb","cluster4"
"SRR8750791","Homo sapiens","22 Hypothalamus","hc","cluster4"
"SRR8750792","Homo sapiens","22 Hypothalamus","hd","cluster4"
"SRR8750793","Homo sapiens","19 Amygdala","ha","cluster3"
"SRR8750794","Homo sapiens","19 Amygdala","hb","cluster3"
"SRR8750795","Homo sapiens","19 Amygdala","hc","cluster3"
"SRR8750796","Homo sapiens","19 Amygdala","hd","cluster3"
"SRR8750797","Homo sapiens","20 Entorhinal Cortex","ha","cluster3"
"SRR8750798","Homo sapiens","20 Entorhinal Cortex","hb","cluster3"
"SRR8750799","Homo sapiens","20 Entorhinal Cortex","hc","cluster3"
"SRR8750800","Homo sapiens","20 Entorhinal Cortex","hd","cluster3"
"SRR8750801","Homo sapiens","14 Inferior Temporal (BA20)","ha","cluster2"
"SRR8750802","Homo sapiens","14 Inferior Temporal (BA20)","hb","cluster2"
"SRR8750803","Homo sapiens","14 Inferior Temporal (BA20)","hc","cluster2"
"SRR8750804","Homo sapiens","14 Inferior Temporal (BA20)","hd","cluster2"
"SRR8750805","Homo sapiens","7 1ary Auditory (BA41/42)","ha","cluster1"
"SRR8750806","Homo sapiens","7 1ary Auditory (BA41/42)","hb","cluster1"
"SRR8750807","Homo sapiens","7 1ary Auditory (BA41/42)","hc","cluster1"
"SRR8750808","Homo sapiens","7 1ary Auditory (BA41/42)","hd","cluster1"
"SRR8750809","Homo sapiens","4 Cingulate Posterior (BA31)","ha","cluster1"
"SRR8750810","Homo sapiens","4 Cingulate Posterior (BA31)","hb","cluster1"
"SRR8750811","Homo sapiens","4 Cingulate Posterior (BA31)","hc","cluster1"
"SRR8750812","Homo sapiens","4 Cingulate Posterior (BA31)","hd","cluster1"
"SRR8750813","Homo sapiens","15 Insular Posterior Cortex","ha","cluster2"
"SRR8750814","Homo sapiens","15 Insular Posterior Cortex","hb","cluster2"
"SRR8750815","Homo sapiens","15 Insular Posterior Cortex","hc","cluster2"
"SRR8750816","Homo sapiens","15 Insular Posterior Cortex","hd","cluster2"
"SRR8750817","Homo sapiens","23 Thalamus","ha","cluster4"
"SRR8750818","Homo sapiens","23 Thalamus","hb","cluster4"
